Funciones,Personas a cargo,Incentivos,UbicaciÃ³n,details,Idiomas,Info Otros Países,technologies,link,Experiencia,textos_limpios,company_name,FormaciÃ³n MÃ­nima,Nivel Profesional,+ Países,additional_info,date,job_name,Tipo contrato,Imprescindible Residir,CVs inscritos en el proceso,Ubicación,Número de puestos,Jornada,Formación Mínima,Salario,offer_id,Otras Provincias,tecnologias,textos_limpios,tecnologias
Electrónica,,,,,Español (Excelente)| Inglés (Excelente),,"['electronica', 'Telecomunicaciones']",https://www.tecnoempleo.com/tecnico-en-navegacion-comunicaciones-barcelona/electronica-telecomunicacio/rf-249f1335c2400307fc49,Sin Experiencia,ElectrónicaIngenieros/Industria,REDCAI,,Empleado,,,13/09/2024,Técnico en navegación y comunicaciones,Indefinido,,11,Barcelona - España,,Jornada completa,FP2/Grado Superior,,249f1335c2400307fc49,,"electronica, Telecomunicaciones, Electrónica, Ingenieros/Industria",ElectrónicaIngenieros/Industria,"electronica, Telecomunicaciones, Electrónica, Ingenieros/Industria"
Electrónica,,,,,Español (Excelente)| Inglés (Excelente),,"['electronica', 'telecomunicaciones', 'electricidad']",https://www.tecnoempleo.com/tecnico-en-navegaciones-comunicaciones-presencial/electronica-telecomunica/rf-ddbf1d0262b1c394f444,Sin Experiencia,ElectrónicaSoporte Técnico,REDCAI,,Empleado,,,13/09/2024,Técnico en navegaciones y comunicaciones,Indefinido,España,16,Madrid (Presencial),,Jornada completa,FP2/Grado Superior,,ddbf1d0262b1c394f444,,"electronica, telecomunicaciones, electricidad, Electrónica, Soporte Técnico",ElectrónicaSoporte Técnico,"electronica, telecomunicaciones, electricidad, Electrónica, Soporte Técnico"
Big Data,,,,,Inglés (Alto),,"['Power BI', 'DAX Studio']",https://www.tecnoempleo.com/desarrollador-senior-power-bi-remoto/power-bi-dax-studio/rf-b0431bab92cd63fc2344,3-5 años,Big DataProgramador,NPR Spain,,Empleado,,,13/09/2024,Desarrollador Senior Power BI,Indefinido,País Puesto,43,100% En remoto,,Jornada completa,Grado Medio,,b0431bab92cd63fc2344,,"Power BI, DAX Studio, Big Data, Programador",Big DataProgramador,"Power BI, DAX Studio, Big Data, Programador"
Desarrollador Web,,,,,Inglés (Alto),,"['Mendix', 'Java', 'C#']",https://www.tecnoempleo.com/software-engineer-mendix-madrid/mendix-java-c/rf-fd3e17a3f25e63fb9a4b,3-5 años,Desarrollador WebProgramador,IPS Group,,Empleado,,,13/09/2024,Software Engineer - Mendix,Indefinido,,4,Madrid - España,,Jornada completa,Sin estudios,42.000 € - 60.000 € Bruto/año,fd3e17a3f25e63fb9a4b,,"Mendix, Java, C#, Desarrollador Web, Programador",Desarrollador WebProgramador,"Mendix, Java, C#, Desarrollador Web, Programador"
Arquitecto TIC,,,,,Español (Excelente)| Inglés (Excelente),,"['SAP', 'SAP CO', 'SAP PS']",https://www.tecnoempleo.com/sap-project-manager-architect-madrid/sap-sap-co-sap-ps-ppm-fi-co-hcm-abap/rf-1d6d10b772ba13bd534b,3-5 años,Arquitecto TICJefe de Proyecto,Inventive Search,,Empleado,,,13/09/2024,SAP Project Manager/Architect,Indefinido,,14,Madrid - España,3,Jornada completa,Grado Medio,45.000 € - 80.000 € Bruto/año,1d6d10b772ba13bd534b,,"SAP, SAP CO, SAP PS, PPM, FI CO, HCM, ABAP, Arquitecto TIC, Jefe de Proyecto",Arquitecto TICJefe de Proyecto,"SAP, SAP CO, SAP PS, PPM, FI CO, HCM, ABAP, Arquitecto TIC, Jefe de Proyecto"
Analista,,,,,,,"['cobol', 'cics', 'db2']",https://www.tecnoempleo.com/analista-pro-cobol-cics-db2-jcl-madrid/cobol-cics-db2/rf-63fb1a8a92e6a357c743,3-5 años,AnalistaAnalista ProgramadorTester,Incoming Domain,,Empleado,,,14/09/2024,Analista Pro. COBOL CICS DB2 JCL,Indefinido,,1,Madrid - España,6,Jornada completa,Diplomado,21.000 € - 30.000 € Bruto/año,63fb1a8a92e6a357c743,"Alicante, Barcelona, Valencia y Zaragoza","cobol, cics, db2, Analista, Analista Programador, Tester",AnalistaAnalista ProgramadorTester,"cobol, cics, db2, Analista, Analista Programador, Tester"
Analista,,Retribución flexible,,,Inglés (Medio),,"['RPGIV', 'AS/400', 'DB2']",https://www.tecnoempleo.com/analista-programador-en-rpg-400-hibrido/rpgiv-400-db2/rf-5b671167426ac3523443,3-5 años,AnalistaAnalista ProgramadorProgramador,Serem,,Empleado,,,14/09/2024,Analista Programador/a en RPG AS/400,Indefinido,Provincia Puesto,0,Madrid (Híbrido),,Jornada completa,Grado Medio,33.000 € - 39.000 € Bruto/año,5b671167426ac3523443,,"RPGIV, AS/400, DB2, Analista, Analista Programador, Programador",AnalistaAnalista ProgramadorProgramador,"RPGIV, AS/400, DB2, Analista, Analista Programador, Programador"
Programador,,,,,,,"['java', 'spring', 'microservicios']",https://www.tecnoempleo.com/desarrolladores-java-microservicios-remoto-remoto/java-spring-microservici/rf-91c51cb2522b8323ac4d,3 años,Programador,Digital Talent Agency,,Empleado,,,14/09/2024,Desarrolladores/a JAVA MICROSERVICIOS ¡Remoto!,Indefinido,,43,100% En remoto,,Jornada completa,,,91c51cb2522b8323ac4d,,"java, spring, microservicios, Programador",Programador,"java, spring, microservicios, Programador"
Analista Programador,,,,,,,"['Vue', 'GCP']",https://www.tecnoempleo.com/analista-programador-vuejs-remoto/vue-gcp/rf-c13e1e65120923237c48,3 años,Analista Programador,Serem,,Empleado,,,14/09/2024,Analista Programador/a Vue.js,Indefinido,,25,100% En remoto,,Jornada completa,FP2/Grado Superior,,c13e1e65120923237c48,,"Vue, GCP, Analista Programador",Analista Programador,"Vue, GCP, Analista Programador"
Desarrollador Web,,,,,Inglés (Medio),,"['java', 'javascript', 'angular']",https://www.tecnoempleo.com/desarrollador-fullstack-remoto/java-javascript-angular-spring-html-jira-mi/rf-e7421591f294835b5444,3-5 años,Desarrollador WebProgramador,Tuyú Technology,,Empleado,,,14/09/2024,Desarrollador/a fullstack,Indefinido,España,22,100% En remoto,,Jornada completa,FP2/Grado Superior,27.000 € - 42.000 € Bruto/año,e7421591f294835b5444,,"java, javascript, angular, spring, html, jira, microservicios, css, Desarrollador Web, Programador",Desarrollador WebProgramador,"java, javascript, angular, spring, html, jira, microservicios, css, Desarrollador Web, Programador"
Analista Programador,,100% Teletrabajo,,,Inglés (Alto),,"['.NET', 'angular']",https://www.tecnoempleo.com/net-software-engineer-remoto/net-angular/rf-29951c7072a95351134c,3-5 años,Analista ProgramadorProgramador,Social You,,Empleado,,,14/09/2024,.NET Software Engineer,Indefinido,País Puesto,24,100% En remoto,,Jornada completa,FP2/Grado Superior,33.000 € - 42.000 € Bruto/año,29951c7072a95351134c,,".NET, angular, Analista Programador, Programador",Analista ProgramadorProgramador,".NET, angular, Analista Programador, Programador"
Analista Programador,,"Seguro médico, tarjeta restaurante, formación",,,Inglés (Alto),,"['sql', 'data', 'excel']",https://www.tecnoempleo.com/consultor-pl-sql-i-d-hibrido/sql-data-excel-pl-sql/rf-796a1828327703e15d4f,3 años,Analista ProgramadorBig DataConsultor,Capgemini,,Empleado,,,14/09/2024,Consultor PL/SQL (I&D),Indefinido,España,16,Madrid (Híbrido),,Jornada completa,Grado EEES (Bolonia),,796a1828327703e15d4f,"Barcelona, Murcia y Valencia","sql, data, excel, pl/sql, Analista Programador, Big Data, Consultor",Analista ProgramadorBig DataConsultor,"sql, data, excel, pl/sql, Analista Programador, Big Data, Consultor"
